EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorkedPrevious,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,Shift,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,OverTime_encoded,AgeGroup
1705718,34,No,Travel_Rarely,Neurology,7,4,Life Sciences,1,Female,3,3,Other,2,Single,125937,0,No,11,3,3,0,13,4,3,12,6,2,11,0,26-35
1880078,21,No,Travel_Rarely,Maternity,15,2,Life Sciences,3,Male,3,1,Other,4,Single,12936,1,No,14,3,4,0,0,6,3,0,0,0,0,0,18-25
1801346,34,No,Travel_Rarely,Maternity,6,1,Medical,2,Male,3,1,Other,1,Single,31080,2,No,11,3,3,0,8,2,3,4,2,1,3,0,26-35
1142160,53,No,Travel_Rarely,Neurology,5,3,Other,3,Female,3,5,Other,3,Divorced,200487,4,No,11,3,4,1,26,3,2,14,13,4,8,0,46-55
1142062,32,Yes,Travel_Frequently,Maternity,16,1,Life Sciences,2,Female,1,1,Other,1,Single,41150,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1,26-35
1789756,42,No,Travel_Rarely,Cardiology,8,4,Marketing,3,Male,3,2,Nurse,2,Married,71663,0,No,11,3,4,1,10,2,3,9,7,4,2,0,36-45
1126009,44,No,Travel_Rarely,Maternity,7,4,Medical,1,Female,2,3,Nurse,4,Married,107604,3,No,14,3,4,1,24,4,3,22,6,5,17,0,36-45
1552176,46,No,Travel_Rarely,Cardiology,2,4,Marketing,2,Female,3,5,Administrative,1,Single,198944,3,No,12,3,4,0,22,2,2,2,2,2,1,0,46-55
1118605,33,No,Travel_Rarely,Maternity,2,3,Medical,3,Male,3,1,Nurse,4,Single,26208,4,No,11,3,4,0,7,3,3,1,1,0,0,0,26-35
1397325,44,No,Travel_Rarely,Maternity,10,4,Other,4,Male,3,2,Nurse,4,Married,67883,2,Yes,13,3,4,0,9,5,4,4,2,1,3,1,36-45
1874834,30,No,Travel_Rarely,Maternity,9,2,Medical,4,Male,2,1,Nurse,3,Single,23163,1,No,13,3,1,0,10,5,3,10,0,1,8,0,26-35
1275746,39,No,Travel_Rarely,Cardiology,5,3,Technical Degree,4,Male,3,2,Other,4,Married,21903,3,No,14,3,3,1,19,6,4,1,0,0,0,0,36-45
1884939,24,Yes,Travel_Rarely,Maternity,1,3,Medical,2,Male,3,1,Other,4,Married,24077,2,Yes,16,3,1,1,6,2,2,2,0,2,0,1,18-25
1650304,43,No,Travel_Rarely,Maternity,2,2,Medical,4,Female,4,1,Other,3,Divorced,27773,1,No,12,3,4,2,6,3,2,5,3,1,4,0,36-45
1058169,50,Yes,Travel_Rarely,Cardiology,3,2,Marketing,1,Male,2,1,Other,3,Married,28172,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1,46-55
1319183,35,No,Travel_Rarely,Cardiology,2,3,Marketing,4,Female,3,1,Other,4,Married,21147,1,No,13,3,1,0,2,3,3,2,2,2,2,0,26-35
1872551,36,No,Travel_Rarely,Maternity,5,4,Life Sciences,2,Female,2,1,Other,1,Married,35900,9,Yes,14,3,4,1,6,3,4,1,1,0,0,1,36-45
1060693,33,No,Travel_Frequently,Cardiology,1,3,Life Sciences,3,Female,4,2,Nurse,1,Married,56448,2,No,19,3,1,2,10,3,3,5,3,1,3,0,26-35
1110390,35,No,Travel_Rarely,Maternity,4,2,Other,3,Male,3,1,Nurse,4,Divorced,20486,0,No,12,3,3,1,1,3,3,1,0,0,0,0,26-35
1448895,27,No,Travel_Rarely,Maternity,2,4,Life Sciences,4,Female,3,1,Nurse,1,Divorced,24581,1,No,13,3,4,1,1,6,3,1,0,0,0,0,26-35
1547220,26,Yes,Travel_Rarely,Maternity,25,3,Life Sciences,1,Male,1,1,Nurse,3,Single,24077,1,No,12,3,3,0,1,2,2,1,0,0,1,0,26-35
1680993,27,No,Travel_Frequently,Cardiology,8,3,Life Sciences,4,Male,3,3,Nurse,3,Single,91623,1,No,15,3,4,0,9,0,3,9,8,1,7,0,26-35
1100187,30,No,Travel_Frequently,Maternity,1,2,Medical,3,Female,3,2,Nurse,4,Single,42116,1,No,23,4,4,0,12,2,3,12,8,3,7,0,26-35
1881631,41,No,Travel_Rarely,Neurology,12,3,Technical Degree,2,Female,3,5,Other,3,Married,205223,1,No,12,3,4,0,23,0,3,22,15,15,8,0,36-45
1622068,34,No,Non-Travel,Cardiology,23,4,Marketing,2,Male,3,2,Nurse,3,Single,47964,0,No,20,4,3,0,10,2,3,9,5,8,7,0,26-35
1336903,37,No,Travel_Rarely,Maternity,19,2,Life Sciences,2,Male,3,1,Other,2,Married,31731,4,No,21,4,1,0,8,1,3,1,0,0,0,0,36-45
1126243,46,No,Travel_Frequently,Cardiology,5,4,Marketing,1,Male,3,2,Nurse,4,Single,60606,4,Yes,21,4,3,0,14,4,3,9,6,0,8,1,46-55
1053707,35,No,Travel_Rarely,Maternity,8,1,Life Sciences,4,Male,4,1,Nurse,4,Married,23825,0,No,19,3,4,0,1,2,3,1,0,0,1,0,26-35
1708688,48,Yes,Travel_Rarely,Maternity,1,2,Life Sciences,1,Male,2,3,Nurse,3,Single,56501,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1,46-55
1208582,28,Yes,Travel_Rarely,Maternity,5,4,Technical Degree,3,Male,3,1,Nurse,3,Single,36131,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1,26-35
1127416,44,No,Travel_Rarely,Cardiology,1,5,Marketing,2,Female,3,2,Nurse,1,Divorced,57267,5,Yes,21,4,3,1,9,2,2,4,3,1,3,1,36-45
1710090,35,No,Non-Travel,Maternity,11,2,Medical,3,Male,2,3,Nurse,1,Married,103782,2,Yes,13,3,3,1,10,3,3,4,0,2,3,1,26-35
1146606,26,Yes,Travel_Rarely,Cardiology,23,3,Marketing,3,Female,2,2,Nurse,4,Married,43649,7,Yes,19,3,3,1,5,2,2,2,2,0,0,1,26-35
1674685,33,No,Travel_Frequently,Neurology,1,2,Life Sciences,1,Female,3,3,Other,4,Single,141309,1,Yes,12,3,3,0,15,1,3,15,14,8,12,1,26-35
1477077,35,No,Travel_Frequently,Cardiology,18,5,Life Sciences,2,Male,3,3,Nurse,1,Married,95225,1,No,22,4,4,1,9,3,2,9,8,1,8,0,26-35
1269275,35,No,Travel_Rarely,Maternity,23,4,Medical,3,Female,3,1,Nurse,1,Married,42147,3,Yes,15,3,3,1,4,3,3,2,2,2,2,1,26-35
1620694,31,No,Travel_Rarely,Maternity,7,4,Life Sciences,4,Male,3,2,Nurse,4,Divorced,62108,3,No,22,4,4,1,10,3,2,7,7,1,7,0,26-35
1618486,37,No,Travel_Rarely,Neurology,1,4,Life Sciences,1,Male,2,2,Therapist,3,Divorced,62927,1,No,18,3,3,1,7,2,4,7,5,0,7,0,36-45
1208054,32,No,Travel_Rarely,Neurology,1,3,Medical,1,Male,3,2,Therapist,4,Married,64701,1,Yes,22,4,2,1,9,3,3,9,8,7,8,1,26-35
1545352,38,No,Travel_Frequently,Maternity,29,5,Life Sciences,4,Female,3,2,Nurse,4,Single,25263,1,No,11,3,4,0,10,2,3,10,3,9,9,0,36-45
1665908,50,No,Travel_Rarely,Neurology,7,2,Medical,2,Female,2,5,Other,3,Divorced,196770,5,Yes,12,3,4,1,29,2,2,27,3,13,8,1,46-55
1312106,59,No,Travel_Rarely,Cardiology,25,3,Life Sciences,1,Female,3,3,Nurse,1,Single,80189,7,No,11,3,4,0,28,3,2,21,16,7,9,0,56-65
1391215,36,No,Travel_Rarely,Maternity,8,3,Technical Degree,3,Female,3,3,Nurse,3,Divorced,106008,1,No,13,3,2,3,17,2,3,17,14,12,8,0,36-45
1677994,55,No,Travel_Rarely,Neurology,8,3,Medical,4,Female,3,4,Other,3,Divorced,154938,2,Yes,14,3,3,3,21,2,3,5,0,0,2,1,46-55
1216003,36,No,Travel_Frequently,Maternity,11,3,Life Sciences,2,Male,2,2,Therapist,2,Single,68240,1,No,13,3,3,0,6,3,3,6,5,0,3,0,36-45
1503437,45,No,Travel_Rarely,Maternity,7,3,Life Sciences,2,Male,3,3,Other,1,Divorced,102102,2,No,17,3,3,1,25,2,3,1,0,0,0,0,36-45
1381585,35,No,Travel_Frequently,Maternity,1,3,Medical,2,Male,3,1,Other,1,Married,23037,4,No,13,3,4,1,5,2,2,3,2,1,2,0,26-35
1312369,36,Yes,Travel_Rarely,Maternity,9,3,Medical,4,Male,2,1,Other,3,Married,35574,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,36-45
1576355,59,No,Travel_Frequently,Cardiology,1,1,Life Sciences,1,Female,2,2,Nurse,3,Single,57467,7,No,11,3,4,0,20,2,2,4,3,1,3,0,56-65
1659485,29,No,Travel_Rarely,Maternity,2,3,Life Sciences,3,Male,3,1,Other,2,Married,28382,0,No,23,4,4,1,6,3,3,5,4,0,4,0,26-35
1530200,31,No,Travel_Rarely,Maternity,1,4,Medical,3,Male,3,1,Other,2,Single,26261,1,No,17,3,2,0,1,4,3,1,1,0,0,0,26-35
1773482,32,No,Travel_Rarely,Maternity,1,3,Life Sciences,2,Male,3,2,Other,2,Married,65310,1,No,17,3,2,2,10,3,3,10,4,0,9,0,26-35
1188108,36,No,Travel_Rarely,Maternity,6,3,Life Sciences,2,Female,4,1,Nurse,4,Married,31899,3,No,12,3,2,0,5,3,3,1,0,0,0,0,36-45
1471418,31,No,Travel_Rarely,Cardiology,8,4,Life Sciences,3,Female,3,2,Therapist,4,Single,46452,1,No,23,4,4,0,11,2,3,11,7,1,8,0,26-35
1081842,35,No,Travel_Rarely,Cardiology,1,4,Marketing,3,Male,2,2,Nurse,1,Single,45276,0,No,14,3,2,0,16,2,3,15,13,2,8,0,26-35
1146021,45,No,Travel_Rarely,Neurology,6,4,Other,4,Male,3,3,Other,1,Married,139073,4,Yes,14,3,2,0,17,3,4,0,0,0,0,1,36-45
1880248,37,No,Travel_Rarely,Neurology,7,4,Medical,1,Male,3,3,Other,3,Single,143472,4,No,13,3,1,0,16,3,4,5,2,0,2,0,36-45
1267807,46,No,Travel_Rarely,Neurology,5,2,Medical,2,Male,3,2,Other,2,Divorced,52721,8,Yes,22,4,4,1,16,2,3,4,2,0,2,1,46-55
1247348,30,No,Travel_Rarely,Maternity,1,1,Life Sciences,4,Male,2,2,Nurse,4,Married,53823,1,Yes,12,3,3,2,10,1,2,10,8,3,0,1,26-35
1886039,35,No,Travel_Rarely,Maternity,1,3,Medical,2,Male,2,1,Other,3,Single,30020,1,No,18,3,1,0,6,3,3,6,4,0,4,0,26-35
1134060,55,No,Travel_Rarely,Cardiology,1,2,Life Sciences,1,Male,3,3,Nurse,4,Married,107510,3,No,14,3,4,1,24,4,3,1,0,1,0,0,46-55
1403326,38,No,Non-Travel,Maternity,6,3,Medical,2,Female,1,2,Other,4,Divorced,55955,7,Yes,12,3,4,3,17,3,3,13,11,1,9,1,36-45
1689558,34,No,Travel_Rarely,Neurology,1,2,Medical,1,Male,3,2,Therapist,2,Married,45413,1,No,15,3,3,0,5,2,3,5,2,1,3,0,26-35
1122798,56,No,Travel_Rarely,Neurology,7,3,Life Sciences,4,Male,1,3,Therapist,4,Single,76230,4,No,11,3,1,0,37,3,2,6,4,0,2,0,56-65
1477348,23,No,Travel_Rarely,Cardiology,2,1,Technical Degree,3,Male,3,1,Other,1,Divorced,24381,3,No,13,3,3,1,3,3,3,0,0,0,0,0,18-25
1061371,51,No,Travel_Rarely,Maternity,9,4,Life Sciences,4,Male,3,1,Nurse,4,Married,21788,3,No,23,4,2,2,10,4,3,4,2,0,3,0,46-55
1535342,30,No,Travel_Rarely,Maternity,2,3,Life Sciences,3,Male,2,2,Nurse,4,Married,43596,1,No,19,3,1,3,11,3,3,11,10,10,8,0,26-35
1386780,46,No,Travel_Rarely,Cardiology,9,2,Medical,3,Male,2,3,Nurse,4,Single,101000,1,No,16,3,4,0,9,3,3,9,8,4,7,0,46-55
1254775,40,No,Travel_Frequently,Maternity,1,4,Life Sciences,3,Male,2,4,Nurse,2,Married,141782,1,No,22,4,4,1,22,3,2,22,3,11,11,0,36-45
1818921,51,No,Travel_Rarely,Cardiology,21,4,Marketing,3,Male,3,2,Nurse,4,Single,57131,0,Yes,22,4,4,0,11,2,1,10,7,1,0,1,46-55
1848882,30,No,Travel_Rarely,Cardiology,4,2,Medical,3,Female,2,2,Nurse,2,Divorced,54695,1,Yes,12,3,2,3,11,4,2,11,8,2,7,1,26-35
1537412,46,No,Travel_Frequently,Maternity,1,3,Medical,3,Male,2,3,Nurse,1,Married,112067,2,Yes,13,3,3,1,21,5,2,10,9,9,5,1,46-55
1231380,32,No,Travel_Rarely,Cardiology,6,4,Medical,2,Male,3,2,Nurse,3,Single,52605,1,No,16,3,1,0,12,0,3,11,8,5,7,0,26-35
1293078,54,No,Travel_Rarely,Neurology,2,4,Technical Degree,1,Female,3,3,Other,3,Married,142265,9,No,12,3,1,1,16,5,1,4,3,0,3,0,46-55
1026798,24,No,Travel_Rarely,Cardiology,3,2,Other,1,Female,3,2,Nurse,3,Married,52490,0,No,21,4,1,1,4,2,2,3,2,0,2,0,18-25
1500402,28,No,Non-Travel,Cardiology,4,3,Medical,2,Male,3,2,Nurse,3,Married,44321,1,No,15,3,2,0,5,3,4,5,4,0,4,0,26-35
1514098,58,No,Travel_Rarely,Cardiology,10,4,Medical,4,Male,3,4,Nurse,3,Single,145656,0,No,13,3,3,0,38,1,2,37,10,1,8,0,56-65
1487216,44,No,Non-Travel,Maternity,23,3,Medical,2,Male,3,2,Nurse,2,Married,21441,4,No,12,3,3,1,17,3,4,3,2,1,2,0,36-45
1843825,37,Yes,Travel_Rarely,Neurology,6,4,Human Resources,3,Male,3,1,Other,1,Divorced,21767,4,Yes,22,4,4,0,7,3,3,3,2,0,2,1,36-45
1635251,32,No,Travel_Rarely,Maternity,1,1,Life Sciences,4,Male,3,1,Other,1,Single,31038,0,No,13,3,4,0,1,2,3,1,0,0,0,0,26-35
1088304,20,Yes,Travel_Frequently,Maternity,6,3,Life Sciences,4,Female,2,1,Nurse,4,Single,30723,1,Yes,18,3,2,0,1,5,3,1,0,0,0,1,18-25
1792856,34,No,Travel_Rarely,Maternity,6,4,Other,1,Female,3,2,Other,3,Single,50495,1,No,14,3,3,0,16,3,3,16,13,2,10,0,26-35
1787161,37,No,Non-Travel,Maternity,2,2,Life Sciences,3,Male,2,2,Nurse,4,Divorced,54212,5,No,14,3,4,1,17,2,4,1,0,0,0,0,36-45
1627796,59,No,Non-Travel,Neurology,2,4,Human Resources,3,Female,2,5,Administrative,4,Married,197862,9,No,21,4,4,1,30,3,3,3,2,2,2,0,56-65
1077558,50,No,Travel_Frequently,Neurology,1,3,Life Sciences,1,Female,3,5,Other,2,Married,190806,3,Yes,19,3,1,0,28,1,2,8,3,0,7,1,46-55
1410589,25,Yes,Travel_Rarely,Cardiology,5,3,Marketing,3,Male,2,2,Nurse,3,Single,60312,1,Yes,11,3,4,0,6,1,3,6,4,0,3,1,18-25
1657986,25,No,Travel_Rarely,Maternity,7,1,Medical,4,Male,2,1,Other,4,Married,30335,1,No,11,3,3,2,2,2,3,2,2,2,1,0,18-25
1353326,22,No,Travel_Rarely,Maternity,15,3,Medical,2,Female,3,1,Nurse,4,Single,30146,1,No,15,3,3,0,1,5,3,0,0,0,0,0,18-25
1523794,51,No,Travel_Frequently,Maternity,1,4,Medical,1,Female,2,3,Nurse,1,Single,78582,3,No,20,4,3,0,23,1,2,13,12,12,8,0,46-55
1851151,34,Yes,Travel_Frequently,Maternity,7,3,Life Sciences,1,Male,1,2,Nurse,3,Single,63777,1,Yes,24,4,4,0,9,3,3,9,7,0,6,1,26-35
1645988,54,No,Non-Travel,Neurology,26,3,Human Resources,4,Female,4,4,Administrative,4,Single,181944,2,Yes,12,3,3,0,23,3,3,5,3,4,4,1,46-55
1849283,24,No,Travel_Rarely,Maternity,18,1,Life Sciences,2,Male,3,1,Nurse,3,Married,29127,0,No,12,3,3,1,6,2,3,5,3,1,2,0,18-25
1073480,34,No,Travel_Rarely,Maternity,6,4,Life Sciences,3,Female,2,2,Other,2,Divorced,47303,6,No,15,3,3,1,12,3,3,1,0,0,0,0,26-35
1157113,37,No,Travel_Rarely,Cardiology,3,3,Life Sciences,3,Male,3,3,Nurse,4,Single,77994,2,No,12,3,1,0,12,3,3,5,3,1,3,0,36-45
1130224,34,No,Travel_Rarely,Neurology,5,3,Medical,3,Female,2,3,Other,1,Single,122126,2,No,12,3,4,0,14,6,3,11,10,5,8,0,26-35
1427732,36,No,Travel_Frequently,Cardiology,11,2,Technical Degree,2,Female,3,3,Nurse,4,Married,102249,0,No,14,3,3,1,10,6,3,9,7,2,8,0,36-45
1852975,36,No,Travel_Rarely,Maternity,3,2,Life Sciences,1,Female,3,1,Nurse,4,Divorced,29768,5,No,22,4,1,1,7,2,3,1,0,0,0,0,36-45
1845017,43,No,Travel_Frequently,Cardiology,26,2,Life Sciences,3,Male,3,4,Administrative,4,Married,178070,1,Yes,12,3,4,2,25,3,4,25,12,4,12,1,36-45
1212660,30,No,Travel_Frequently,Maternity,23,3,Life Sciences,1,Male,1,1,Other,3,Divorced,27437,1,No,25,4,3,3,10,2,2,10,7,0,9,0,26-35
1264790,33,No,Non-Travel,Cardiology,22,2,Marketing,3,Male,3,2,Nurse,2,Married,64533,0,No,13,3,1,1,8,2,4,7,7,0,7,0,26-35
1515486,56,Yes,Travel_Rarely,Maternity,14,4,Life Sciences,2,Female,3,1,Other,2,Married,52112,9,Yes,18,3,1,3,7,2,3,5,4,4,3,1,56-65
1832980,51,No,Travel_Rarely,Neurology,6,3,Life Sciences,1,Male,3,5,Other,3,Single,205139,7,No,13,3,3,0,23,5,3,20,18,15,15,0,46-55
1031688,31,Yes,Travel_Rarely,Cardiology,6,4,Life Sciences,2,Male,1,2,Nurse,3,Married,64806,4,Yes,18,3,2,0,12,3,2,7,7,7,7,1,26-35
1433172,26,No,Travel_Rarely,Maternity,6,3,Other,3,Female,2,1,Other,2,Married,24864,1,No,19,3,3,0,5,3,2,5,4,4,3,0,26-35
1607390,58,No,Travel_Rarely,Maternity,23,4,Medical,4,Female,3,3,Nurse,4,Married,108276,1,No,12,3,4,1,40,3,2,40,10,15,6,0,56-65
1842764,19,Yes,Travel_Rarely,Cardiology,22,1,Marketing,4,Male,3,1,Other,3,Single,17588,1,Yes,19,3,4,0,0,2,2,0,0,0,0,1,18-25
1176986,22,No,Travel_Rarely,Maternity,2,1,Technical Degree,3,Male,3,1,Nurse,4,Married,26492,0,No,14,3,3,1,3,2,3,2,1,2,1,0,18-25
1835832,49,No,Travel_Rarely,Maternity,20,4,Medical,3,Female,3,2,Therapist,1,Married,68954,1,No,14,3,3,0,16,2,2,15,11,5,11,0,46-55
1450885,43,No,Travel_Frequently,Maternity,28,3,Medical,2,Female,4,1,Other,3,Single,49760,4,No,12,3,4,0,18,2,3,3,2,1,2,0,36-45
1810635,50,No,Travel_Frequently,Cardiology,12,3,Marketing,3,Female,3,3,Nurse,4,Single,96684,4,No,11,3,4,0,16,3,3,2,2,2,1,0,46-55
1810242,31,Yes,Travel_Rarely,Cardiology,20,3,Life Sciences,2,Female,1,2,Nurse,3,Married,47870,3,Yes,11,3,3,1,4,2,3,2,2,2,2,1,26-35
1148129,41,No,Travel_Rarely,Cardiology,9,1,Life Sciences,3,Male,3,3,Nurse,3,Divorced,85985,3,Yes,13,3,3,1,12,2,3,9,7,0,7,1,36-45
1085450,26,No,Travel_Rarely,Neurology,25,1,Life Sciences,3,Female,3,1,Other,3,Married,30891,1,No,23,4,4,1,8,3,3,8,7,5,7,0,26-35
1699939,36,No,Travel_Rarely,Neurology,6,2,Medical,2,Male,3,2,Therapist,2,Divorced,51881,6,No,20,4,4,2,7,0,3,3,2,0,1,0,36-45
1612623,51,Yes,Travel_Frequently,Cardiology,8,4,Life Sciences,1,Male,1,3,Therapist,4,Single,111825,2,No,15,3,4,0,18,2,3,4,2,0,3,0,46-55
1069811,39,No,Travel_Rarely,Cardiology,4,4,Life Sciences,4,Female,2,2,Nurse,3,Married,61971,4,No,14,3,3,1,17,1,4,15,11,5,9,0,36-45
1717795,25,No,Travel_Rarely,Cardiology,28,3,Life Sciences,1,Male,2,2,Nurse,3,Married,90710,2,No,18,3,4,0,6,3,3,2,2,2,2,0,18-25
1341925,30,No,Travel_Rarely,Neurology,9,3,Human Resources,3,Male,3,2,Other,4,Married,66644,0,Yes,19,3,4,0,12,2,1,11,9,4,7,1,26-35
1113668,32,Yes,Travel_Rarely,Maternity,9,3,Medical,1,Female,3,1,Nurse,1,Single,44100,7,No,22,4,1,0,10,2,4,5,4,0,4,0,26-35
1164932,45,No,Travel_Rarely,Maternity,29,3,Medical,3,Male,3,1,Other,4,Single,36246,5,No,13,3,2,0,9,2,2,6,5,0,3,0,36-45
1328110,38,No,Travel_Rarely,Maternity,3,5,Technical Degree,4,Female,3,2,Other,3,Single,45329,3,Yes,20,4,2,0,19,2,3,3,2,2,2,1,36-45
1744823,30,No,Travel_Rarely,Maternity,18,3,Life Sciences,1,Female,3,1,Other,3,Single,27636,1,No,14,3,3,0,5,4,2,5,4,0,4,0,26-35
1431031,32,No,Travel_Frequently,Cardiology,9,2,Medical,4,Male,1,2,Nurse,4,Divorced,49014,0,No,17,3,4,3,9,2,4,8,7,0,7,0,26-35
1587864,30,No,Travel_Rarely,Maternity,5,3,Technical Degree,4,Female,3,1,Other,1,Divorced,33642,5,No,14,3,4,1,8,3,3,3,2,2,2,0,26-35
1577226,30,No,Travel_Rarely,Maternity,2,1,Medical,2,Male,2,1,Nurse,4,Single,28560,0,No,13,3,4,0,6,3,3,5,3,1,2,0,26-35
1162762,41,No,Travel_Frequently,Neurology,10,3,Life Sciences,4,Male,2,4,Other,1,Divorced,180401,4,No,13,3,2,1,21,2,2,7,6,7,7,0,36-45
1035340,41,No,Travel_Rarely,Maternity,9,4,Life Sciences,3,Male,3,1,Nurse,1,Married,23499,2,No,21,4,4,1,7,2,3,5,0,1,4,0,36-45
1529493,19,No,Travel_Rarely,Maternity,3,1,Medical,2,Female,3,1,Nurse,2,Single,15572,1,No,14,3,4,0,1,3,3,1,0,0,0,0,18-25
1789511,40,No,Travel_Frequently,Maternity,26,3,Medical,2,Female,3,2,Other,2,Divorced,58853,1,No,11,3,1,1,20,2,3,20,7,2,13,0,36-45
1047751,35,No,Travel_Rarely,Cardiology,1,5,Marketing,3,Male,3,3,Nurse,2,Married,76598,1,No,13,3,1,2,10,3,3,10,8,0,6,0,26-35
1057195,53,No,Travel_Rarely,Cardiology,6,2,Marketing,2,Male,3,2,Other,3,Married,24213,2,Yes,20,4,4,1,13,3,1,7,7,4,5,1,46-55
1682385,45,No,Travel_Rarely,Maternity,9,3,Life Sciences,2,Male,3,2,Nurse,2,Divorced,24654,8,No,18,3,3,1,20,2,1,17,9,0,15,0,36-45
1314990,32,No,Travel_Frequently,Cardiology,8,3,Marketing,2,Female,3,3,Nurse,4,Single,94479,1,No,14,3,4,0,9,2,3,9,8,3,7,0,26-35
1157784,29,No,Non-Travel,Neurology,1,1,Technical Degree,4,Male,3,2,Therapist,3,Married,45350,1,No,13,3,1,1,10,1,3,10,7,0,9,0,26-35
